amenity,name,lat,lon
fuel,Киришиавтосервис,60.0265447,30.4316105
fuel,Линос,60.0318975,30.4317729
restaurant,Калипсо,60.1231123,29.9416884
post_office,Санкт-Петербург 195276,60.0464432,30.3877733
bank,Сбербанк,60.0122344,30.4118853
fuel,"Neste A24 № 416 ""Бабушкина""",59.8656403,30.453894
library,Фундаментальная библиотека СПбПУ,60.0077121,30.3732497
clock,,59.9889111,30.2962684
fuel,Фаэтон,60.0350033,30.3658884
post_box,,59.9453356,30.4101807
cinema,Jam Hall,59.9673052,30.3085901
atm,,59.9749369,30.3872517
fuel,Аэро,59.8236932,30.319641
restaurant,Русская рыбалка,59.9693246,30.2332697
bicycle_rental,JetSet,59.9710726,30.254421
restaurant,Харчевня XIV век,59.9587217,30.3066182
cinema,Мираж Синема,59.9595399,30.3023557
restaurant,Устричный бар,59.9618364,30.3104206
restaurant,Мама Рома,59.9627191,30.3068701
fuel,LPG,59.9932193,30.3909554
post_box,,60.0123975,30.4321958
cafe,Слойка,59.9592264,30.3119998
bank,Райффайзенбанк,59.9595625,30.3178378
atm,Балтийский банк,59.9564346,30.321172
restaurant,Две палочки,59.9325275,30.3475666
fast_food,Макдоналдс,59.9326937,30.34627
cafe,Приют гурмана,59.9634627,30.306516
cafe,Снежинка,59.9631631,30.301681
restaurant,La Izvor,59.9593485,30.3056868
bank,СДМ-БАНК,59.9608615,30.3073525
restaurant,La Fabrik,59.9666869,30.2860197
fuel,Киришиавтосервис 13,59.6887866,29.920541
fuel,ПТК,59.5728378,30.1718214
bank,Сбербанк,60.0044413,30.6096776
restaurant,ТаймАут,60.104587,29.9772705
atm,,60.0088876,30.3730501
atm,,60.0090135,30.3708507
fountain,Самсон,59.8852066,29.9091469
bar,SПБ,59.9153938,30.313205
post_office,Санкт-Петербург 197101,59.96024,30.317538
bank,Сбербанк,59.9640885,30.3129739
bench,,59.6960199,30.4791452
bench,,59.6959902,30.4795213
fuel,Фаэтон,59.6820773,30.2437469
fuel,Волга-нефтепродукт,59.6521505,30.2151284
cafe,Больше Кофе!,59.9545201,30.3204196
atm,Петербургский городской банк,59.9532626,30.3222986
nightclub,Fireball,59.8542716,30.3870487
pharmacy,Радуга,59.9155203,30.4581999
pharmacy,У театра,59.9248608,30.2880519
cafe,Маска,59.9247749,30.2891318
atm,,59.9246274,30.2870131
kindergarten,Детский сад №60,59.9246956,30.2887825
pharmacy,Витал,59.9245978,30.288351
fuel,ПТК,60.2033991,29.6904597
fuel,ПТК,60.1932852,29.6886232
fuel,"АЗС ""Анри-центр""",60.2043452,29.6952999
fuel,Фаэтон,59.9129149,30.3758399
bank,Авангард,59.8524649,30.3103753
fuel,Neste № 515,60.0200535,30.6018635
fuel,Neste,59.9351914,30.2502112
fuel,Линос,59.9386227,30.231803
parking,,59.932812,30.4360991
fountain,,59.8840842,29.907076
fountain,,59.8837182,29.9098913
fountain,Нептун,59.8824907,29.9077283
fountain,Дубовый,59.8835639,29.908294
cafe,Irish,59.9554791,30.2960086
bank,Сбербанк,59.955597,30.2951246
bank,"Citibank. Отделение ""На Большом пр.""",59.9554013,30.2948512
cafe,Теремок,59.9620039,30.3056479
library,Библиотека имени В.И. Ленина,59.9575723,30.3026106
atm,РайффайзенБанк,59.9672811,30.3085541
atm,БинБанк,59.9660911,30.3119735
fuel,,59.8647619,30.4919618
driving_school,Армида,59.8944727,30.4186907
pub,Зелёный король,59.9631017,30.3024991
cafe,ANY.Тесто,59.9610107,30.3070015
pharmacy,Родник здоровья,59.965611,30.2982222
cafe,,59.9652139,30.2975931
cafe,Шоколадница,59.9604419,30.3031026
cafe,Кофе Хауз,59.9585229,30.2999818
cafe,Туутари-парк,59.6934373,30.1792749
cafe,Паутина,59.9608834,30.3147854
cafe,Coffee Noa,59.9611733,30.3158104
restaurant,Остров,59.9614075,30.3153883
cafe,Марка,59.9675752,30.309297
fast_food,Макдоналдс,59.966808,30.3110293
fast_food,KFC,59.966663,30.3114102
restaurant,Пицца Хат,59.9665737,30.3112289
cafe,ParkKing,59.9560795,30.315539
restaurant,Две палочки,59.9633547,30.307789
pub,,59.9601434,30.3092592
restaurant,Две палочки,59.9480555,30.2326179
parking,,59.9705883,30.3025373
atm,Сбербанк,59.9577855,30.3088402
pharmacy,Первая помощь,59.9577309,30.3084174
restaurant,Тбилисо,59.9577014,30.308235
pharmacy,Петербургские аптеки,59.9640473,30.2958136
cafe,Вега,59.9607314,30.2981903
bank,ОТП Банк,59.9594554,30.3014564
pub,Molly Sullivan,59.9594377,30.303103
bench,,59.6883453,30.4572638
bench,,59.6888384,30.4574395
post_box,,59.8540501,30.3058061
restaurant,Дамаск,59.9570889,30.3130539
post_office,Отделение связи №188820,60.2559096,29.6016252
cafe,,60.1207184,29.9424779
fuel,Фаэтон,60.0482083,30.464995
fuel,,60.0626918,30.4934852
post_box,,59.9335426,30.3229185
post_box,,59.9349222,30.3285188
parking,,60.0058472,30.3544405
car_wash,Мойка-Люкс,60.0319406,30.6270656
bank,Сбербанк,60.0195472,30.6475427
bureau_de_change,Констанс-банк,60.047271,30.4627937
cinema,Дом кино,59.9362374,30.3417637
bench,,59.8661496,30.3199974
fast_food,KFC,59.8663626,30.3198361
car_wash,,60.0484479,30.4652999
marketplace,,59.9421044,31.041256
post_office,Шлиссельбург 187320,59.9434926,31.0357254
marketplace,,59.942239,31.0409592
toilets,,59.9528379,30.3066815
post_office,Отделение связи №187342,59.8800069,30.9886879
doctors,Американская Медицинская Клиника,59.9304475,30.305138
restaurant,Наш Питер,59.9523046,30.2972882
cafe,Dinner Hall,59.9136572,30.3754386
cafe,Амилен,59.9140452,30.3769343
car_wash,,60.0784302,30.2669246
fuel,АГЗС Северное,60.0929758,30.2561382
parking,,59.9284983,30.4911013
cinema,Мираж Синема,60.0389089,30.3235509
toilets,(closed),59.7612683,30.2655456
cafe,Уголёк,59.8761352,30.320967
pub,The Templet Bar,59.938595,30.3631991
fuel,,59.974071,30.4397157
pub,Bier König,59.9273756,30.3239418
toilets,,60.0362518,30.3189349
toilets,,59.9965577,30.5437154
drinking_water,,60.2695617,29.4274758
drinking_water,,60.2204015,29.5068112
cafe,Васаби,59.9397604,30.4755116
restaurant,Пури,59.9438655,30.4792091
bank,Авангард,59.9219213,30.4592033
bank,Сбербанк,59.9223035,30.4578285
bank,Сбербанк,59.9400724,30.4755822
pharmacy,Первая помощь,59.9388014,30.4775021
nightclub,Домино,59.9382466,30.4905096
library,Детская библиотека,59.9424853,30.4785081
pharmacy,Радуга,59.9455088,30.4857888
bank,Сбербанк,59.9477852,30.4741153
cafe,,59.8963785,30.4925689
car_wash,Автомойка,59.8962563,30.4925451
fountain,,59.8091202,30.5742501
fountain,,59.8086352,30.5755648
fountain,,59.808155,30.5738315
cafe,Барселона,59.9669899,30.4754165
pharmacy,Невис,59.9372367,31.0272854
cafe,Шахеризада,59.9382196,30.4747441
