id,title,time,lat,lng,decreepart
11624017,В Красносельском районе гражданин привлечен к ответственности за нарушение правил обращения с оружием,2017-11-20 13:07:00,59.836513,30.133829,ст.20.8 (Нарушение Правил Хранения Оружия и Патронов к Нему); Кодекс Об Административных Правонарушениях; Россия
11620224,"Полиция разыскивает злоумышленника, ограбившего пожилую женщину в Кронштадте",2017-11-20 08:35:00,59.998492,29.759626,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
11617626,В Ленобласти задержан подозреваемый в хищении автомобиля,2017-11-19 10:48:00,60.07623830000001,30.121383,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
11617623,В Петербурге задержан автоугонщик,2017-11-19 10:45:00,59.861774,30.174635,ч.1 ст.166 (Неправомерное Завладение Автомобилем); Уголовный Кодекс; Россия
11606722,В Санкт-Петербурге задержаны подозреваемые в хищении изразцовой печи XIX века,2017-11-17 11:23:00,59.972558,30.304503,"ч.2 ст.164 (Хищение Предметов, Имеющих Особую Ценность); Уголовный Кодекс; Россия"
11604535,В Красносельском районе Петербурга по «горячим» следам раскрыто разбойное нападение на случайного прохожего,2017-11-17 08:27:00,59.85937299999999,30.211193,ч.3 ст.162 (Разбой); Уголовный Кодекс; Россия
11594536,В Ленинградской области по «горячим» следам задержан подозреваемый в разбойном нападении на случайного прохожего,2017-11-16 08:46:00,60.07623830000001,30.121383,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
11568968,В Петербурге задержаны подозреваемые в похищении местной жительницы,2017-11-13 13:02:00,59.717593,30.4060042,ч.2 ст.126 (Похищение Человека); Уголовный Кодекс; Россия
11565028,В Петроградском районе Петербурга раскрыто разбойное нападение на мужчину,2017-11-13 09:07:00,59.959253,30.315649,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
11565011,Полиция расследует ограбление граждан в Красносельском и Адмиралтейском районах Петербурга,2017-11-13 09:06:00,59.8524445,30.140841,ст.161 (Грабеж); Уголовный Кодекс; Россия
11564554,Полиция расследует разбойное нападение на случайного прохожего в Московском районе Петербурга,2017-11-13 08:16:00,59.90328189999999,30.3274512,ч.2 ст.162 (Разбой); Уголовный Кодекс; Россия
11551342,Полиция Приморского района расследует кражу у пожилой петербурженки,2017-11-10 12:22:00,59.997294,30.314807,ч.3 ст.158 (Кража); Уголовный Кодекс; Россия
11548187,"В Петербурге задержаны трое граждан, подозреваемых в хищении малолитражных грузовых автомобилей на территории города",2017-11-10 08:37:00,60.01436,30.318753,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
11538524,В Санкт-Петербурге полиция изъяла из незаконного оборота 20 килограммов насвая,2017-11-09 11:30:00,59.9284874,30.3278806,ст.14.53 (Несоблюдение Ограничений и Нарушений Запретов в Сфере Торговли Табачной Продукцией); Кодекс Об Административных Правонарушениях; Россия
11537259,"В Ленинградкой области полицейские задержали мужчину, подозреваемого в убийстве бывшей жены",2017-11-09 10:10:00,60.07623830000001,30.121383,ч.1 ст.105 (Убийство); Уголовный Кодекс; Россия
11530695,В Санкт-Петербурге раскрыта серия мошенничеств с недвижимостью,2017-11-08 15:31:00,59.917577,30.487477,ч.4 ст.159 (Мошенничество); Уголовный Кодекс; Россия
11525326,В Московском районе задержан подозреваемый в краже икры из торгового центра,2017-11-08 09:33:00,59.7886018,30.3210879,ч.1 ст.158 (Кража); Уголовный Кодекс; Россия
11525076,С поличным оперативники уголовного розыска задержали подозреваемого в карманной краже,2017-11-08 09:17:00,59.8524303,30.2441888,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
11514852,Полицейские провели миграционный рейд в общежитии на севере Петербурга,2017-11-07 09:36:00,59.98155819999999,30.4072258,ч.3 ст.19.27 (Представление Ложных Сведений При Осуществлении Миграционного Учета); Кодекс Об Административных Правонарушениях; Россия
11514637,В Кировском районе Санкт-Петерубрга устанавливаются обстоятельства получения травм мужчиной,2017-11-07 09:21:00,59.85492300000001,30.261904,ч.2 ст.111 (Умышленное Причинение Тяжкого Вреда Здоровью); Уголовный Кодекс; Россия
11508797,В Невском районе «по горячим следам» задержан подозреваемый в грабеже,2017-11-05 10:10:00,59.84022839999999,30.4959368,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
11496348,За минувшие сутки в Петербурге задержаны подозреваемые в трех карманных кражах,2017-11-03 08:25:00,59.8533509,30.2200454,ч.2 ст.158 (Кража); Уголовный Кодекс; Россия
11496321,Полиция Калининского района Петербурга расследует ограбление автовладельца,2017-11-03 08:16:00,59.99501799999999,30.360386,ч.2 ст.161 (Грабеж); Уголовный Кодекс; Россия
